order_id,order_date,supplier_reliability_score,warehouse_inventory_level,order_quantity,shipping_distance_km,shipping_method,weather_condition,processing_time_hours,order_priority,delayed
1,2023-01-01 00:00:00,0.63,2869,253,1822.8,Sea,Fog,15.6,Low,1
2,2023-01-01 01:00:00,0.91,2406,370,876.1,Road,Fog,53.2,Low,0
3,2023-01-01 02:00:00,0.78,4665,198,134.2,Rail,Fog,62.2,Low,0
4,2023-01-01 03:00:00,0.89,1545,363,817.9,Sea,Storm,8.2,High,0
5,2023-01-01 04:00:00,0.99,511,454,984.3,Sea,Storm,46.5,High,1
6,2023-01-01 05:00:00,0.82,1270,44,101.9,Air,Fog,19.1,High,1
7,2023-01-01 06:00:00,0.8,3629,155,231.8,Road,Storm,45.5,Low,1
8,2023-01-01 07:00:00,0.63,4468,66,1964.5,Rail,Rain,47.9,Medium,0
9,2023-01-01 08:00:00,0.71,614,471,1710.2,Sea,Rain,3.3,Medium,0
10,2023-01-01 09:00:00,0.8,3312,276,328.6,Rail,Storm,5.6,Medium,0
11,2023-01-01 10:00:00,0.87,4686,233,1279.1,Road,Storm,6.7,Medium,0
12,2023-01-01 11:00:00,0.92,1580,137,1383.9,Air,Rain,33.9,Low,1
13,2023-01-01 12:00:00,0.75,1309,199,885.2,Rail,Fog,43.4,Low,0
14,2023-01-01 13:00:00,0.63,3853,335,1636.8,Sea,Rain,45.9,Low,0
15,2023-01-01 14:00:00,0.72,4802,177,1234.3,Sea,Storm,4.1,High,0
16,2023-01-01 15:00:00,0.96,62,207,558.1,Road,Storm,70.6,High,0
17,2023-01-01 16:00:00,0.69,2432,425,606.9,Sea,Storm,49.9,Low,0
18,2023-01-01 17:00:00,0.78,4416,495,21.0,Sea,Clear,56.7,Medium,1
19,2023-01-01 18:00:00,0.97,3172,422,1809.6,Sea,Rain,42.9,Medium,0
20,2023-01-01 19:00:00,0.61,4051,124,1144.1,Sea,Storm,23.4,Low,0
21,2023-01-01 20:00:00,0.84,639,27,192.7,Rail,Clear,28.8,Medium,1
22,2023-01-01 21:00:00,0.98,485,4,857.7,Sea,Storm,7.3,Low,0
23,2023-01-01 22:00:00,0.69,3454,21,513.3,Road,Clear,64.3,Medium,0
24,2023-01-01 23:00:00,0.82,4182,285,591.1,Sea,Fog,45.7,Medium,0
25,2023-01-02 00:00:00,0.96,4349,329,27.8,Rail,Fog,56.9,Medium,0
26,2023-01-02 01:00:00,0.65,2011,393,1962.0,Rail,Fog,67.6,Low,0
27,2023-01-02 02:00:00,0.81,4161,346,254.5,Road,Storm,64.4,Medium,0
28,2023-01-02 03:00:00,0.9,303,455,67.5,Sea,Fog,18.9,Low,1
29,2023-01-02 04:00:00,0.87,3180,121,900.4,Air,Rain,27.8,High,0
30,2023-01-02 05:00:00,0.79,3364,290,1726.8,Rail,Rain,51.5,High,0
31,2023-01-02 06:00:00,0.68,361,265,559.5,Road,Storm,6.5,Low,1
32,2023-01-02 07:00:00,0.8,3415,136,653.6,Road,Fog,19.2,Low,0
33,2023-01-02 08:00:00,0.75,4898,317,1582.8,Sea,Rain,3.6,High,0
34,2023-01-02 09:00:00,0.79,2899,148,1615.7,Rail,Storm,32.4,High,1
35,2023-01-02 10:00:00,0.75,407,485,831.9,Sea,Storm,34.8,High,1
36,2023-01-02 11:00:00,0.94,4559,360,137.5,Air,Rain,46.9,Low,1
37,2023-01-02 12:00:00,0.91,2124,434,1864.1,Air,Clear,56.3,Medium,1
38,2023-01-02 13:00:00,0.73,775,478,1395.2,Road,Storm,71.5,High,0
39,2023-01-02 14:00:00,0.83,1148,433,1390.2,Sea,Clear,35.4,High,1
40,2023-01-02 15:00:00,0.71,4245,41,246.0,Road,Clear,18.9,Low,0
41,2023-01-02 16:00:00,0.78,865,115,257.9,Road,Storm,38.1,Medium,1
42,2023-01-02 17:00:00,0.74,4680,286,854.0,Sea,Clear,69.9,Medium,1
43,2023-01-02 18:00:00,0.86,1658,191,775.8,Road,Rain,52.5,Low,0
44,2023-01-02 19:00:00,0.75,642,193,320.9,Sea,Storm,43.6,Low,0
45,2023-01-02 20:00:00,0.78,537,457,753.2,Road,Clear,7.2,Low,0
46,2023-01-02 21:00:00,0.89,3086,351,951.0,Air,Fog,62.4,Low,0
47,2023-01-02 22:00:00,0.77,757,201,935.6,Sea,Fog,28.3,Low,0
48,2023-01-02 23:00:00,0.96,1743,460,43.4,Road,Clear,6.6,High,0
49,2023-01-03 00:00:00,0.67,3206,252,1990.2,Road,Storm,14.7,Low,0
50,2023-01-03 01:00:00,0.9,3889,105,337.6,Road,Rain,8.2,Low,0
51,2023-01-03 02:00:00,0.77,522,38,737.2,Road,Clear,44.4,High,0
